id,atm_id,atm_code,bank_name,city,state,latitude,longitude
f1f8d2d0-6ea3-5875-acce-a83a08547247,f1f8d2d0-6ea3-5875-acce-a83a08547247,ATM-NEW-0001,SBI,New Delhi,Delhi,28.576189,77.169502
c45eaf1f-d739-587d-8090-276bc5a6a01e,c45eaf1f-d739-587d-8090-276bc5a6a01e,ATM-NEW-0002,HDFC Bank,New Delhi,Delhi,28.60536,77.171931
b3dc96a5-31cc-51a8-a4bc-4d47da6df377,b3dc96a5-31cc-51a8-a4bc-4d47da6df377,ATM-NEW-0003,ICICI Bank,New Delhi,Delhi,28.621966,77.170259
91abf21e-5b5e-5823-b4f0-c5d40f77d717,91abf21e-5b5e-5823-b4f0-c5d40f77d717,ATM-NEW-0004,Axis Bank,New Delhi,Delhi,28.650605,77.172476
7bb876b7-d98c-59b9-bfe7-5d6d8706898d,7bb876b7-d98c-59b9-bfe7-5d6d8706898d,ATM-NEW-0005,Punjab National Bank,New Delhi,Delhi,28.572932,77.195515
863a1f8a-9358-5d83-a37a-ef1b3af72061,863a1f8a-9358-5d83-a37a-ef1b3af72061,ATM-NEW-0006,SBI,New Delhi,Delhi,28.598155,77.20403
ae9a45fc-c291-5efa-a2ad-8e3d969953d5,ae9a45fc-c291-5efa-a2ad-8e3d969953d5,ATM-NEW-0007,HDFC Bank,New Delhi,Delhi,28.629078,77.198907
6110b5e8-c838-5a36-af9e-ceec51e0c409,6110b5e8-c838-5a36-af9e-ceec51e0c409,ATM-NEW-0008,ICICI Bank,New Delhi,Delhi,28.655884,77.197672
d05fbe4b-fcba-52a3-9d29-e0fce9ccdbd9,d05fbe4b-fcba-52a3-9d29-e0fce9ccdbd9,ATM-NEW-0009,Axis Bank,New Delhi,Delhi,28.576748,77.220705
1ca42a9a-50ec-5a1d-99e3-81bf7c579716,1ca42a9a-50ec-5a1d-99e3-81bf7c579716,ATM-NEW-0010,Punjab National Bank,New Delhi,Delhi,28.600023,77.220785
051674e2-a8c4-5111-bf54-2c937a9c722a,051674e2-a8c4-5111-bf54-2c937a9c722a,ATM-NEW-0011,SBI,New Delhi,Delhi,28.6306,77.219735
e3c72b40-457d-5627-b578-4da7a09c1fc1,e3c72b40-457d-5627-b578-4da7a09c1fc1,ATM-NEW-0012,HDFC Bank,New Delhi,Delhi,28.65531,77.220894
0e0b8e6c-f46a-5dce-b705-93abfbcedab7,0e0b8e6c-f46a-5dce-b705-93abfbcedab7,ATM-NEW-0013,ICICI Bank,New Delhi,Delhi,28.573364,77.243306
d89b2703-b172-5529-922c-4af9eb48d45f,d89b2703-b172-5529-922c-4af9eb48d45f,ATM-NEW-0014,Axis Bank,New Delhi,Delhi,28.599736,77.248488
7c8a9fea-1f01-5794-b1f8-1f33bc77651b,7c8a9fea-1f01-5794-b1f8-1f33bc77651b,ATM-NEW-0015,Punjab National Bank,New Delhi,Delhi,28.632133,77.241787
81697ea2-f5de-540b-a729-ead84b45e611,81697ea2-f5de-540b-a729-ead84b45e611,ATM-MUM-0016,SBI,Mumbai,Maharashtra,19.03825,72.84145
c991fb7a-f5c2-5464-b968-538bf5c140df,c991fb7a-f5c2-5464-b968-538bf5c140df,ATM-MUM-0017,HDFC Bank,Mumbai,Maharashtra,19.064456,72.844372
2ec2dfb2-1938-5797-bf2d-736d604948cb,2ec2dfb2-1938-5797-bf2d-736d604948cb,ATM-MUM-0018,ICICI Bank,Mumbai,Maharashtra,19.089842,72.841537
bbdf6837-aab5-5b4e-839e-9ee61eaea352,bbdf6837-aab5-5b4e-839e-9ee61eaea352,ATM-MUM-0019,Axis Bank,Mumbai,Maharashtra,19.104086,72.842957
9e342a67-6e23-50e0-affc-c624e2da2f70,9e342a67-6e23-50e0-affc-c624e2da2f70,ATM-MUM-0020,Punjab National Bank,Mumbai,Maharashtra,19.039569,72.86761
5cbba4d0-3c52-5f68-9295-d2058d5ea946,5cbba4d0-3c52-5f68-9295-d2058d5ea946,ATM-MUM-0021,SBI,Mumbai,Maharashtra,19.065781,72.871337
59684263-0e01-5fc5-9de6-966d650e19e5,59684263-0e01-5fc5-9de6-966d650e19e5,ATM-MUM-0022,HDFC Bank,Mumbai,Maharashtra,19.086805,72.85728
8df3fb3f-36b9-5e62-b1aa-54e0ed960822,8df3fb3f-36b9-5e62-b1aa-54e0ed960822,ATM-MUM-0023,ICICI Bank,Mumbai,Maharashtra,19.116599,72.860206
